Target,Response,Informant
yellow,,NY1
yellow,,NY2A
yellow,,NY2B
yellow,,NY2C
yellow,yellow,NY3A
yellow,yellow,NY3B
yellow,yellow,NY3C
yellow,yellow,NY3D
yellow,yellow in the,NY4A
yellow,yellow,NY4B
yellow,yellow,NY4C
yellow,yellow,NY5A
yellow,yellow,NY5B
yellow,yellow,NY5C
yellow,yellow,NY5D
yellow,yellow,NY5E
yellow,yellow,NY5F
yellow,yellow,NY5G
yellow,yellow,NY5H!
yellow,yellow,NY5I!
yellow,yellow,NY6A
yellow,yellow,NY6B
yellow,yellow,NY7A
yellow,yellow,NY7B
yellow,yellow,NY7C
yellow,yellow,NY7D
yellow,yellow,NY7E
yellow,yellow,NY7F
yellow,yellow,NY7G
yellow,yellow,NY7H
yellow,yellow,NY7I
yellow,yellow,NY7J!
yellow,yellow,NY7K!
yellow,yellow,NY7L!
yellow,yellow,NY7M!
yellow,yellow,NY8
yellow,yellow,NY9A
yellow,yellow,NY9B
yellow,yellow,NY9C
yellow,yellow,NY10A
yellow,yellow,NY10A
yellow,yellow,NY10B!
yellow,yellow,NY11
yellow,yellow,NY12A
yellow,yellow,NY12A
yellow,yellow,NY12B
yellow,yellow,NY12C!
yellow,yellow,NY13A
yellow,yellow,NY13B!
yellow,yellow,NY14A
yellow,yellow,NY14B
yellow,yellow,NY15A
yellow,yellow,NY15B
yellow,yellow,NY16A
yellow,yellow,NY16B
yellow,yellow,NY17A
yellow,yellow,NY17B
yellow,yellow,NY18A
yellow,yellow,NY18B
yellow,yellow,NY18C!
yellow,yellow,NY19
yellow,yellow,NY20A
yellow,yellow,NY21
yellow,yellow,NY22
yellow,,NY23A
yellow,yellow pan,NY23B
yellow,yellow,NY23C
yellow,yellow,NY24A
yellow,yellow,NY24B!
yellow,yellow,NY25A
yellow,yellow,NY25A
yellow,yellow,NY25B
yellow,yellow,NY26A
yellow,yellow,NY26B
yellow,yellow,NY26C
yellow,yellow,NY27A
yellow,,NY27B
yellow,yellow,NY27C
yellow,yellow bottom,NY28A
yellow,yellow,NY28A
yellow,yellow,NY28B
yellow,,NY28C
yellow,yellow,NY29A
yellow,yellow,NY29B
yellow,yellow,NY29C
yellow,yellow,NY30A
yellow,yellow way,NY30A
yellow,yellow,NY30A
yellow,yellow,NY30B
yellow,yellow,NY30B
yellow,yellow,NY30C
yellow,yellow,NY30D
yellow,yellow,NY30E
yellow,yellow,NY31A
yellow,yellow,NY31A
yellow,a yellow dot,NY31A
yellow,yellow,NY31B
yellow,,NY32A
yellow,yellow,NY32B
yellow,yellow,NY33A
yellow,yellow,NY33B
yellow,yellow,NY33C
yellow,yellow,NY33C
yellow,yellow,NY34A
yellow,,NY34B
yellow,yellow,NY34C
yellow,yellow,NY34C
yellow,yellow,NY34D!
yellow,yellow,NY35A
yellow,yellow,NY35B
yellow,yellow,NY35C!
yellow,yellow,NY36A
yellow,yellow,NY36B
yellow,yellow,NY37A
yellow,yellow,NY37B
yellow,yellow,NY37C!
yellow,yellow,NY38A
yellow,yellow,NY38B
yellow,yellow,NY38C
yellow,yellow,NY39A
yellow,yellow,NY39B
yellow,yellow,NY40A
yellow,yellow,NY40B
yellow,yellow,NY41
yellow,yellow,NY42A
yellow,yellow,NY42B
yellow,yellow,NY43A
yellow,yellow,NY43B
yellow,yellow,NY43C!
yellow,yellow,NY44A
yellow,yellow,NY44B
yellow,yellow,NY45A
yellow,,NY45B
yellow,,NY45C
yellow,yellow,NY45D!
yellow,yellow,NY45D!
yellow,yellow,NY46A
yellow,yellow,NY46B
yellow,yellow,NY46C
yellow,yellow,NY47A
yellow,yellow,NY47A
yellow,yellow,NY47B
yellow,yellow,NY48A
yellow,yellow,NY48A
yellow,,NY48B
yellow,yellowish,NY48C
yellow,yellow,NY48D
yellow,,NY49A
yellow,yellow,NY49B
yellow,yellow,NY49C
yellow,yellow,NY49C
yellow,yellow,NY49D
yellow,yellow,NY49D
yellow,yellow,NY50A
yellow,yellow,NY50B
yellow,yellow,NY51A
yellow,yellow,NY51A
yellow,yellow,NY51B
yellow,yellow,NY51C
yellow,yellow corn,NY51D
yellow,,NY51E!
yellow,yellow,NY52A
yellow,yellow,NY52B
yellow,yellow,NY52C
yellow,yellow,NY53A
yellow,yellow,NY53B!
yellow,yellow,NY54A
yellow,yellow,NY54A
yellow,eggs,NY54B
yellow,orange,NY54B
yellow,yellow,NY54B
yellow,yellow,NY55A
yellow,yellow,NY55B
yellow,yellow,NY56A
yellow,yellow,NY56B
yellow,yellow,NY57A
yellow,yellow,NY57B
yellow,yellow,NY57C!
yellow,yellow,NY58A
yellow,yellow,NY58A
yellow,yellow,NY58B
yellow,yellow,NY58B
yellow,yellow,NY58B
yellow,,NY58C
yellow,yellow,NY58D!
yellow,yellow,NY58E!
yellow,yellow,NY58F!
yellow,yellow,NY59A
yellow,yellow,NY59B
yellow,,NY60A
yellow,yellow,NY60B!
yellow,yellow,NY61A
yellow,yellow,NY61B
yellow,yellow,NY61B
yellow,yellow,NY62A
yellow,yellow,NY62B
yellow,yellow,NY62B
yellow,yellow,NY62C
yellow,yellow,NY62D!
yellow,yellow,NY63A
yellow,yellow,NY63B
yellow,yellow,NY63C
yellow,yellow,NY63D!
yellow,yellow,NY64A
yellow,yellow,NY64A
yellow,yellow,NY64B
yellow,yellow,NY64B
yellow,yellow,NY64C!
yellow,yellow,NY64C!
yellow,yellow,NJ1A
yellow,yellow,NJ1B
yellow,yellow,NJ2A
yellow,yellow,NJ2B
yellow,red,NJ2B
yellow,yellow,NJ3A
yellow,yellow,NJ3B
yellow,yellow,NJ4A
yellow,yellow,NJ4B
yellow,yellow,NJ5A
yellow,yellow,NJ5B
yellow,yellow,NJ6A
yellow,yellow,NJ6B
yellow,yellow,NJ7A
yellow,yellow,NJ7B!
yellow,yellow,NJ8A
yellow,yellow,NJ8B
yellow,yellow,NJ9A
yellow,yellow,NJ9B
yellow,yellow,NJ10A
yellow,yellow,NJ10B
yellow,yellow,NJ10C
yellow,yellow,NJ10D!
yellow,yellow,NJ11A
yellow,yellow,NJ11B
yellow,yellow,NJ11C
yellow,yellow,NJ12A
yellow,yellow,NJ12B
yellow,yellow,NJ13A
yellow,yellow,NJ13B
yellow,yellow,NJ14A
yellow,yellow,NJ14B
yellow,yellow,NJ15A
yellow,yellow,NJ15B
yellow,yellow,NJ16A
yellow,yellow,NJ16B
yellow,yellow,NJ17A
yellow,yellow,NJ17B
yellow,yellow,NJ18A
yellow,yellow,NJ18B
yellow,yellow,NJ18C!
yellow,yellow,NJ18D!
yellow,yellow,NJ19A
yellow,yellow,NJ19B!
yellow,yellow,NJ20A
yellow,yellow,NJ20A
yellow,yellow,NJ20B
yellow,yellow,NJ21A
yellow,yellow,NJ21B
yellow,yellow,PA1A
yellow,yellow,PA1B
yellow,yellow,PA1C
yellow,yellow,PA1E!
yellow,yellow,PA1F!
yellow,yellow,PA1G!
yellow,yellow,PA1H!
yellow,yellow,PA2A
yellow,yellow,PA2B
yellow,yellow,PA3A
yellow,yellow,PA3B
yellow,yellow,PA3C
yellow,yellow,PA4A
yellow,yellow,PA4B!
yellow,yellow,PA5A
yellow,yellow,PA5A
yellow,,PA5B
yellow,yellow,PA5C
yellow,yellow,PA5D
yellow,yellow,PA5E!
yellow,yellow,PA6A
yellow,yellow,PA6B
yellow,yellow,PA6C
yellow,gelb,PA6C
yellow,yellow,PA6D!
yellow,yellow,PA7A
yellow,yellow,PA7B
yellow,yellow,PA7C
yellow,yellow,PA7D!
yellow,yellow,PA8A
yellow,yellow,PA8B
yellow,yellow,PA8C
yellow,yellow,PA8D!
yellow,yellow,PA9A
yellow,yellow,PA9B
yellow,yellow,PA9C!
yellow,yellow,PA10
yellow,yellow,PA11A
yellow,yellow,PA11B
yellow,yellow,PA11B
yellow,yellow,PA12A
yellow,yellow,PA12B
yellow,yellow,PA13A
yellow,yellow,PA13B
yellow,yellow,PA14A
yellow,yellow,PA14B
yellow,,PA14C
yellow,yellow,PA15A
yellow,yellow,PA15B
yellow,yellow,PA15C!
yellow,yellow,PA16A
yellow,yellow,PA16B
yellow,yellow,PA16C
yellow,yellow,PA17A
yellow,yellow,PA17B
yellow,yellow,PA18A
yellow,yellow,PA18B!
yellow,yellow,PA19A
yellow,yellow,PA19B
yellow,yellow,PA20A
yellow,yellow,PA20B
yellow,yellow,PA21A
yellow,yellow,PA21B
yellow,yellow,PA22A
yellow,yellow,PA22B
yellow,yellow,PA23A
yellow,yellow,PA23B
