Target,Response,Informant
yesterday,yesterday,NY1
yesterday,yesterday,NY1
yesterday,,NY2A
yesterday,yesterday,NY2B
yesterday,yesterday,NY2B
yesterday,,NY2C
yesterday,yesterday,NY3A
yesterday,yesterday,NY3B
yesterday,yesterday,NY3C
yesterday,yesterday,NY3D
yesterday,yesterday,NY4A
yesterday,yesterday,NY4B
yesterday,yesterday,NY4C
yesterday,yesterday,NY5A
yesterday,yesterday,NY5B
yesterday,yesterday,NY5C
yesterday,yesterday,NY5D
yesterday,yesterday,NY5D
yesterday,yesterday,NY5E
yesterday,yesterday,NY5F
yesterday,yesterday,NY5G
yesterday,yesterday,NY5H!
yesterday,yesterday,NY5I!
yesterday,yesterday,NY6A
yesterday,yesterday,NY6B
yesterday,yesterday,NY7A
yesterday,yesterday,NY7B
yesterday,yesterday,NY7C
yesterday,yesterday,NY7D
yesterday,yesterday,NY7E
yesterday,yesterday,NY7F
yesterday,yesterday,NY7G
yesterday,yesterday,NY7H
yesterday,yesterday,NY7I
yesterday,yesterday,NY7J!
yesterday,yesterday,NY7K!
yesterday,yesterday,NY7L!
yesterday,yesterday,NY7M!
yesterday,yesterday,NY8
yesterday,yesterday,NY9A
yesterday,yesterday,NY9B
yesterday,yesterday,NY9C
yesterday,yesterday,NY10A
yesterday,yesterday,NY10B!
yesterday,yesterday,NY11
yesterday,yesterday,NY12A
yesterday,yesterday,NY12B
yesterday,yesterday,NY12C!
yesterday,yesterday,NY13A
yesterday,yesterday,NY13B!
yesterday,yesterday,NY14A
yesterday,yesterday,NY14B
yesterday,yesterday,NY15A
yesterday,yesterday,NY15B
yesterday,yesterday,NY16A
yesterday,yesterday,NY16B
yesterday,yesterday,NY17A
yesterday,yesterday,NY17B
yesterday,yesterday,NY18A
yesterday,yesterday,NY18B
yesterday,yesterday,NY18B
yesterday,yesterday,NY18C!
yesterday,yesterday,NY19
yesterday,yesterday,NY20A
yesterday,yesterday,NY20B
yesterday,yesterday,NY21
yesterday,yesterday,NY22
yesterday,,NY23A
yesterday,yesterday,NY23B
yesterday,yesterday,NY23B
yesterday,yesterday,NY23C
yesterday,yesterday,NY23C
yesterday,yesterday,NY24A
yesterday,yesterday,NY24B!
yesterday,yesterday,NY25A
yesterday,yesterday,NY25A
yesterday,yesterday,NY25A
yesterday,yesterday,NY25B
yesterday,yesterday,NY26A
yesterday,yesterday,NY26A
yesterday,yesterday,NY26B
yesterday,,NY26C
yesterday,yesterday,NY27A
yesterday,yesterday,NY27A
yesterday,yesterday,NY27A
yesterday,yesterday,NY27B
yesterday,yesterday,NY27C
yesterday,yesterday,NY28A
yesterday,yesterday,NY28B
yesterday,yesterday,NY28C
yesterday,yesterday,NY29A
yesterday,yesterday,NY29B
yesterday,yesterday,NY29C
yesterday,yesterday,NY30A
yesterday,yesterday,NY30B
yesterday,yesterday,NY30B
yesterday,,NY30C
yesterday,yesterday,NY30D
yesterday,yesterday,NY30E
yesterday,yesterday,NY30E
yesterday,yesterday,NY31A
yesterday,yesterday,NY31B
yesterday,yesterday,NY31B
yesterday,yesterday,NY31B
yesterday,yesterday,NY31B
yesterday,yesterday,NY32A
yesterday,yesterday,NY32B
yesterday,yesterday,NY33A
yesterday,yesterday,NY33B
yesterday,yesterday,NY33C
yesterday,yesterday,NY33C
yesterday,yesterday,NY34A
yesterday,,NY34B
yesterday,,NY34C
yesterday,yesterday,NY34D!
yesterday,yesterday,NY34D!
yesterday,yesterday,NY35A
yesterday,yesterday,NY35B
yesterday,,NY35C!
yesterday,yesterday,NY36A
yesterday,yesterday,NY36B
yesterday,yesterday,NY37A
yesterday,yesterday,NY37B
yesterday,yesterday,NY37C!
yesterday,yesterday,NY38A
yesterday,yesterday,NY38B
yesterday,,NY38C
yesterday,yesterday,NY39A
yesterday,yesterday,NY39B
yesterday,yesterday,NY39B
yesterday,yesterday,NY40A
yesterday,yesterday,NY40B
yesterday,yesterday,NY41
yesterday,yesterday,NY42A
yesterday,yesterday,NY42A
yesterday,yesterday,NY42B
yesterday,,NY43A
yesterday,yesterday,NY43B
yesterday,yesterday,NY43C!
yesterday,yesterday,NY44A
yesterday,yesterday,NY44B
yesterday,yesterday,NY45A
yesterday,yesterday,NY45A
yesterday,yesterday,NY45A
yesterday,,NY45B
yesterday,,NY45C
yesterday,yesterday,NY45D!
yesterday,yesterday,NY46A
yesterday,yesterday,NY46B
yesterday,yesterday,NY46B
yesterday,yesterday,NY46C
yesterday,yesterday,NY47A
yesterday,yesterday,NY47B
yesterday,yesterday,NY48A
yesterday,yesterday,NY48A
yesterday,yesterday,NY48B
yesterday,yesterday,NY48C
yesterday,yesterday,NY48D
yesterday,yesterday,NY49A
yesterday,,NY49B
yesterday,yesterday,NY49C
yesterday,yesterday,NY49C
yesterday,yesterday,NY49D
yesterday,yesterday,NY50A
yesterday,yesterday,NY50A
yesterday,yesterday,NY50B
yesterday,yesterday,NY51A
yesterday,yesterday,NY51A
yesterday,yesterday,NY51A
yesterday,yesterday,NY51A
yesterday,yesterday,NY51B
yesterday,yesterday,NY51C
yesterday,yesterday,NY51D
yesterday,,NY51E!
yesterday,yesterday,NY52A
yesterday,yesterday,NY52B
yesterday,yesterday,NY52C
yesterday,yesterday,NY53A
yesterday,yesterday,NY53B!
yesterday,yesterday,NY54A
yesterday,yesterday,NY54B
yesterday,yesterday,NY55A
yesterday,yesterday,NY55A
yesterday,yesterday,NY55B
yesterday,yesterday,NY56A
yesterday,yesterday,NY56A
yesterday,yesterday,NY56B
yesterday,yesterday,NY56B
yesterday,yesterday,NY57A
yesterday,yesterday,NY57B
yesterday,yesterday,NY57C!
yesterday,yesterday,NY58A
yesterday,yesterday,NY58B
yesterday,yesterday,NY58B
yesterday,yesterday,NY58B
yesterday,,NY58C
yesterday,yesterday,NY58D!
yesterday,yesterday,NY58E!
yesterday,yesterday,NY58E!
yesterday,,NY58F!
yesterday,yesterday,NY59A
yesterday,yesterday,NY59B
yesterday,yesterday,NY60A
yesterday,yesterday,NY60B!
yesterday,yesterday,NY61A
yesterday,yesterday,NY61B
yesterday,yesterday,NY62A
yesterday,yesterday,NY62B
yesterday,yesterday,NY62B
yesterday,yesterday,NY62C
yesterday,yesterday,NY62D!
yesterday,yesterday,NY63A
yesterday,yesterday,NY63A
yesterday,yesterday,NY63B
yesterday,yesterday,NY63C
yesterday,yesterday,NY63D!
yesterday,yesterday,NY64A
yesterday,yesterday,NY64B
yesterday,yesterday,NY64C!
yesterday,yesterday,NJ1A
yesterday,yesterday,NJ1B
yesterday,yesterday,NJ2A
yesterday,yesterday,NJ2B
yesterday,yesterday,NJ3A
yesterday,yesterday,NJ3B
yesterday,yesterday,NJ4A
yesterday,yesterday,NJ4B
yesterday,yesterday,NJ5A
yesterday,yesterday,NJ5B
yesterday,yesterday,NJ6A
yesterday,yesterday,NJ6B
yesterday,yesterday,NJ7A
yesterday,yesterday,NJ7B!
yesterday,yesterday,NJ7B!
yesterday,yesterday,NJ8A
yesterday,yesterday,NJ8B
yesterday,yesterday,NJ8B
yesterday,yesterday,NJ9A
yesterday,yesterday,NJ9B
yesterday,yesterday,NJ10A
yesterday,yesterday,NJ10B
yesterday,yesterday,NJ10C
yesterday,yesterday,NJ10D!
yesterday,yesterday,NJ11A
yesterday,yesterday,NJ11B
yesterday,yesterday,NJ11B
yesterday,yesterday,NJ11C
yesterday,yesterday,NJ12A
yesterday,yesterday,NJ12B
yesterday,yesterday,NJ12B
yesterday,yesterday,NJ13A
yesterday,yesterday,NJ13A
yesterday,yesterday,NJ13B
yesterday,yesterday,NJ14A
yesterday,yesterday,NJ14B
yesterday,yesterday,NJ15A
yesterday,yesterday,NJ15B
yesterday,yesterday,NJ16A
yesterday,yesterday,NJ16B
yesterday,yesterday,NJ17A
yesterday,yesterday,NJ17B
yesterday,yesterday,NJ18A
yesterday,yesterday,NJ18B
yesterday,yesterday,NJ18C!
yesterday,yesterday,NJ18D!
yesterday,yesterday,NJ19A
yesterday,yesterday,NJ19B!
yesterday,yesterday,NJ20A
yesterday,yesterday,NJ20B
yesterday,yesterday,NJ21A
yesterday,yesterday,NJ21B
yesterday,yesterday,PA1A
yesterday,yesterday,PA1B
yesterday,yesterday,PA1C
yesterday,yesterday,PA1D
yesterday,yesterday,PA1E!
yesterday,yesterday,PA1F!
yesterday,yesterday,PA1G!
yesterday,yesterday,PA1H!
yesterday,yesterday,PA2A
yesterday,yesterday,PA2B
yesterday,yesterday,PA3A
yesterday,yesterday,PA3B
yesterday,,PA3C
yesterday,yesterday,PA4A
yesterday,yesterday,PA4B!
yesterday,yesterday,PA5A
yesterday,yesterday,PA5B
yesterday,yesterday,PA5C
yesterday,yesterday,PA5D
yesterday,yesterday,PA5E!
