Target,Response,Informant
yolk,yelk,NY1
yolk,yolk,NY1
yolk,yelk,NY2A
yolk,yolk,NY2B
yolk,yelk,NY2B
yolk,yolk,NY2C
yolk,yelk,NY2C
yolk,yolk,NY3A
yolk,yelk,NY3B
yolk,yolk,NY3B
yolk,yolk,NY3C
yolk,yelk,NY3D
yolk,yelk,NY4A
yolk,yelk,NY4B
yolk,red,NY4B
yolk,yolk,NY4C
yolk,yelk,NY5A
yolk,yolk,NY5B
yolk,yolk,NY5C
yolk,yolk,NY5D
yolk,yolk,NY5E
yolk,yolk,NY5F
yolk,yolk,NY5G
yolk,yolk,NY5H!
yolk,yolk,NY5I!
yolk,yelk,NY6A
yolk,yolk,NY6B
yolk,yolk,NY7A
yolk,yolk,NY7B
yolk,yolk,NY7C
yolk,yelk,NY7D
yolk,yolk,NY7E
yolk,yolk,NY7F
yolk,yolk,NY7G
yolk,yolk,NY7H
yolk,yolk,NY7I
yolk,yolk,NY7J!
yolk,yolk,NY7K!
yolk,yolk,NY7L!
yolk,yolk,NY7M!
yolk,yelk,NY8
yolk,yelk,NY9A
yolk,yolk,NY9A
yolk,yolk,NY9B
yolk,yolk,NY9C
yolk,yolk,NY10A
yolk,yolk,NY10B!
yolk,yolk,NY11
yolk,yolk,NY12A
yolk,yolk,NY12A
yolk,yelk,NY12A
yolk,yelk,NY12A
yolk,yolk,NY12B
yolk,yelk,NY12B
yolk,yolk,NY12C!
yolk,yelk,NY13A
yolk,yolk,NY13B!
yolk,yelk,NY13B!
yolk,yolk,NY14A
yolk,yolk,NY14B
yolk,yelk,NY15A
yolk,yolk,NY15B
yolk,yelk,NY16A
yolk,yolk,NY16B
yolk,yelk,NY17A
yolk,yolk,NY17B
yolk,yelk,NY18A
yolk,yolk,NY18B
yolk,yolk,NY18C!
yolk,yolk,NY19
yolk,yolk,NY20A
yolk,yolk,NY20B
yolk,yellow,NY20B
yolk,yelk,NY21
yolk,yelk,NY22
yolk,yolk,NY22
yolk,yelks,NY23A
yolk,yelk,NY23A
yolk,white,NY23B
yolk,yelk,NY23B
yolk,yolks,NY23C
yolk,yolk,NY24A
yolk,yelk,NY24A
yolk,yolk,NY24B!
yolk,yelk,NY24B!
yolk,yolk,NY25A
yolk,yelks,NY25B
yolk,whites,NY25B
yolk,yolks,NY25B
yolk,yelk,NY26A
yolk,yelks,NY26B
yolk,,NY26C
yolk,yolk,NY27A
yolk,yolks,NY27B
yolk,yolks,NY27C
yolk,yelks,NY27C
yolk,yolks,NY28A
yolk,yolk,NY28B
yolk,,NY28C
yolk,yolk,NY29A
yolk,yelk,NY29A
yolk,yellow,NY29B
yolk,yolks,NY29C
yolk,yelks,NY29C
yolk,yelks,NY29C
yolk,white,NY30A
yolk,yelk,NY30A
yolk,yolks,NY30B
yolk,,NY30C
yolk,yelk,NY30D
yolk,yelks,NY30E
yolk,yelk,NY31A
yolk,yolk,NY31B
yolk,yolks,NY32A
yolk,yelks,NY32B
yolk,yolk,NY33A
yolk,,NY33B
yolk,whites,NY33C
yolk,yolk,NY33C
yolk,yolks,NY34A
yolk,,NY34B
yolk,yolks,NY34C
yolk,yolk,NY34D!
yolk,yelk,NY35A
yolk,yolk,NY35B
yolk,yolk,NY35C!
yolk,yolk,NY36A
yolk,yolk,NY36B
yolk,yelk,NY37A
yolk,yolk,NY37A
yolk,yolk,NY37B
yolk,yolk,NY37C!
yolk,yelk,NY38A
yolk,yolk,NY38B
yolk,yolk,NY38C
yolk,yelk,NY39A
yolk,yolk,NY39B
yolk,yelk,NY40A
yolk,yolk,NY40B
yolk,yolk,NY41
yolk,yolk,NY42A
yolk,yolk,NY42B
yolk,yelk,NY43A
yolk,yolk,NY43B
yolk,yolk,NY43C!
yolk,yolk,NY44A
yolk,yelk,NY44A
yolk,yolk,NY44B
yolk,yelk,NY45A
yolk,,NY45B
yolk,yelk,NY45C
yolk,yolks,NY45D!
yolk,yolks,NY45D!
yolk,yelk,NY46A
yolk,yolk,NY46B
yolk,yolk,NY46C
yolk,yelk,NY47A
yolk,yolk,NY47B
yolk,yelk,NY48A
yolk,,NY48B
yolk,white,NY48C
yolk,yolk,NY48C
yolk,yelk,NY48C
